,var,AUC_loss
976,CTDD_secondarystruct.2.residue0.np,0.000187277
33,CTriad_g1.g5.g5.np,0.000180278
695,DPC_TK.np,0.000179566
256,CTriad_g6.g2.g4.np,0.000178059
969,CTDD_charge.3.residue75.np,0.000175421
494,DPC_HI.np,0.000175065
431,DPC_EF.np,0.000174876
407,DPC_DA.np,0.000174015
634,DPC_QI.np,0.000173052
489,DPC_HD.np,0.000169569
952,CTDD_polarizability.3.residue25.np,0.000169555
103,CTriad_g3.g1.g5.np,0.00016955
971,CTDD_secondarystruct.1.residue0.np,0.000166715
956,CTDD_charge.1.residue0.np,0.000165343
73,CTriad_g2.g4.g3.np,0.000165169
76,CTriad_g2.g4.g6.np,0.000162236
260,CTriad_g6.g3.g1.np,0.000154014
71,CTriad_g2.g4.g1.np,0.000152936
514,DPC_II.np,0.00013444
525,DPC_IW.np,0.00013257
910,CTDD_hydrophobicity_FASG890101.3.residue100.np,0.000130033
258,CTriad_g6.g2.g6.np,0.000129984
206,CTriad_g5.g2.g3.np,0.000129482
127,CTriad_g3.g5.g1.np,0.000129333
276,CTriad_g6.g5.g3.np,0.000127793
486,DPC_GY.np,0.000127753
83,CTriad_g2.g5.g6.np,0.000127753
490,DPC_HE.np,0.000124724
202,CTriad_g5.g1.g6.np,0.000124419
519,DPC_IP.np,0.000118661
570,DPC_ME.np,0.00011696
442,DPC_ES.np,0.000116271
866,CTDD_hydrophobicity_CASG920101.1.residue0.np,0.000114852
463,DPC_FT.np,0.000114186
15,CTriad_g1.g3.g1.np,0.000113639
1036,CTDT_secondarystruct.Tr2332.np,0.00011067
511,DPC_IF.np,0.000110102
539,DPC_KP.np,0.000110081
836,CTDD_hydrophobicity_ZIMJ680101.1.residue0.np,0.000108724
207,CTriad_g5.g2.g4.np,0.000105079
199,CTriad_g5.g1.g3.np,0.000104064
597,DPC_NM.np,0.00010334
153,CTriad_g4.g1.g6.np,0.000102487
135,CTriad_g3.g6.g2.np,0.000102328
725,DPC_VW.np,0.000101529
213,CTriad_g5.g3.g3.np,0.00010132
973,CTDD_secondarystruct.1.residue50.np,0.000101267
610,DPC_PE.np,0.000101071
577,DPC_MM.np,9.94E-05
198,CTriad_g5.g1.g2.np,9.92E-05
18,CTriad_g1.g3.g4.np,9.89E-05
183,CTriad_g4.g6.g1.np,9.86E-05
644,DPC_QV.np,9.83E-05
1019,CTDT_hydrophobicity_FASG890101.Tr1221.np,9.69E-05
220,CTriad_g5.g4.g3.np,9.42E-05
943,CTDD_polarizability.1.residue50.np,9.35E-05
61,CTriad_g2.g2.g5.np,9.22E-05
647,DPC_RA.np,8.92E-05
59,CTriad_g2.g2.g3.np,8.68E-05
929,CTDD_polarity.1.residue75.np,8.49E-05
257,CTriad_g6.g2.g5.np,8.45E-05
734,DPC_WI.np,8.38E-05
53,CTriad_g2.g1.g4.np,8.13E-05
69,CTriad_g2.g3.g6.np,8.01E-05
476,DPC_GL.np,8.01E-05
906,CTDD_hydrophobicity_FASG890101.3.residue0.np,7.95E-05
737,DPC_WM.np,7.89E-05
811,CTDD_hydrophobicity_PRAM900101.2.residue0.np,7.81E-05
66,CTriad_g2.g3.g3.np,7.45E-05
569,DPC_MD.np,7.45E-05
717,DPC_VM.np,7.42E-05
612,DPC_PG.np,7.27E-05
251,CTriad_g6.g1.g6.np,7.25E-05
11,CTriad_g1.g2.g4.np,7.24E-05
253,CTriad_g6.g2.g1.np,6.94E-05
481,DPC_GR.np,6.58E-05
62,CTriad_g2.g2.g6.np,6.57E-05
6,CTriad_g1.g1.g6.np,6.45E-05
90,CTriad_g2.g6.g6.np,6.41E-05
845,CTDD_hydrophobicity_ZIMJ680101.2.residue100.np,6.37E-05
57,CTriad_g2.g2.g1.np,6.26E-05
226,CTriad_g5.g5.g2.np,6.25E-05
684,DPC_SV.np,6.19E-05
417,DPC_DM.np,6.14E-05
479,DPC_GP.np,6.12E-05
598,DPC_NN.np,6.12E-05
521,DPC_IR.np,5.95E-05
137,CTriad_g3.g6.g4.np,5.84E-05
179,CTriad_g4.g5.g4.np,5.82E-05
172,CTriad_g4.g4.g4.np,5.51E-05
618,DPC_PN.np,5.50E-05
681,DPC_SR.np,5.44E-05
