,var,AUC_loss
630,DPC_QE.na,0.000111305
156,CTriad_g4.g2.g2.na,0.000108287
441,DPC_ER.na,0.000107756
77,CTriad_g2.g4.g7.na,0.000107478
276,CTriad_g6.g5.g3.na,0.000106682
452,DPC_FG.na,0.000106403
678,DPC_SN.na,0.000106313
95,CTriad_g2.g7.g4.na,0.000105001
691,DPC_TF.na,0.000104653
637,DPC_QM.na,0.000104649
796,CTDC_polarizability.G3.na,0.000103581
733,DPC_WH.na,0.00010297
809,CTDD_hydrophobicity_PRAM900101.1.residue75.na,0.00010278
381,DPC_AR.na,0.000102622
169,CTriad_g4.g4.g1.na,0.000102364
512,DPC_IG.na,0.000102079
698,DPC_TN.na,0.000101737
762,DPC_YS.na,0.000100722
286,CTriad_g6.g6.g6.na,0.000100227
455,DPC_FK.na,1.00E-04
727,DPC_WA.na,9.97E-05
472,DPC_GG.na,9.68E-05
513,DPC_IH.na,9.61E-05
677,DPC_SM.na,9.52E-05
446,DPC_EY.na,9.47E-05
217,CTriad_g5.g3.g7.na,9.30E-05
1010,CTDT_hydrophobicity_PONP930101.Tr1221.na,9.24E-05
680,DPC_SQ.na,9.22E-05
511,DPC_IF.na,9.15E-05
127,CTriad_g3.g5.g1.na,9.14E-05
408,DPC_DC.na,8.91E-05
780,CTDC_hydrophobicity_CASG920101.G2.na,8.90E-05
431,DPC_EF.na,8.85E-05
236,CTriad_g5.g6.g5.na,8.83E-05
27,CTriad_g1.g4.g6.na,8.79E-05
133,CTriad_g3.g5.g7.na,8.79E-05
567,DPC_MA.na,8.64E-05
75,CTriad_g2.g4.g5.na,8.60E-05
179,CTriad_g4.g5.g4.na,8.54E-05
940,CTDD_polarity.3.residue100.na,8.52E-05
69,CTriad_g2.g3.g6.na,8.52E-05
531,DPC_KF.na,8.51E-05
451,DPC_FF.na,8.47E-05
440,DPC_EQ.na,8.41E-05
330,CTriad_g7.g6.g1.na,8.39E-05
213,CTriad_g5.g3.g3.na,8.31E-05
477,DPC_GM.na,8.29E-05
535,DPC_KK.na,8.17E-05
627,DPC_QA.na,8.11E-05
652,DPC_RG.na,8.10E-05
722,DPC_VS.na,8.06E-05
437,DPC_EM.na,8.05E-05
28,CTriad_g1.g4.g7.na,7.78E-05
41,CTriad_g1.g6.g6.na,7.66E-05
423,DPC_DT.na,7.66E-05
459,DPC_FP.na,7.62E-05
962,CTDD_charge.2.residue25.na,7.58E-05
195,CTriad_g4.g7.g6.na,7.51E-05
30,CTriad_g1.g5.g2.na,7.51E-05
945,CTDD_polarizability.1.residue100.na,7.51E-05
542,DPC_KS.na,7.49E-05
304,CTriad_g7.g2.g3.na,7.45E-05
13,CTriad_g1.g2.g6.na,7.34E-05
65,CTriad_g2.g3.g2.na,7.32E-05
471,DPC_GF.na,7.23E-05
643,DPC_QT.na,7.15E-05
720,DPC_VQ.na,7.10E-05
393,DPC_CH.na,7.10E-05
218,CTriad_g5.g4.g1.na,7.10E-05
62,CTriad_g2.g2.g6.na,6.94E-05
122,CTriad_g3.g4.g3.na,6.92E-05
594,DPC_NI.na,6.87E-05
534,DPC_KI.na,6.87E-05
833,CTDD_hydrophobicity_ARGP820101.3.residue50.na,6.83E-05
886,CTDD_hydrophobicity_ENGD860101.2.residue0.na,6.82E-05
153,CTriad_g4.g1.g6.na,6.78E-05
714,DPC_VI.na,6.73E-05
507,DPC_IA.na,6.69E-05
664,DPC_RV.na,6.67E-05
730,DPC_WE.na,6.56E-05
418,DPC_DN.na,6.54E-05
144,CTriad_g3.g7.g4.na,6.43E-05
593,DPC_NH.na,6.42E-05
671,DPC_SF.na,6.42E-05
483,DPC_GT.na,6.40E-05
726,DPC_VY.na,6.39E-05
884,CTDD_hydrophobicity_ENGD860101.1.residue75.na,6.37E-05
609,DPC_PD.na,6.36E-05
748,DPC_YC.na,6.17E-05
368,DPC_AC.na,6.08E-05
139,CTriad_g3.g6.g6.na,6.08E-05
549,DPC_LD.na,6.07E-05
576,DPC_ML.na,6.04E-05
457,DPC_FM.na,5.98E-05
318,CTriad_g7.g4.g3.na,5.97E-05
540,DPC_KQ.na,5.96E-05
487,DPC_HA.na,5.94E-05
702,DPC_TS.na,5.94E-05
397,DPC_CM.na,5.94E-05
164,CTriad_g4.g3.g3.na,5.92E-05
527,DPC_KA.na,5.88E-05
757,DPC_YM.na,5.88E-05
541,DPC_KR.na,5.87E-05
16,CTriad_g1.g3.g2.na,5.82E-05
367,DPC_AA.na,5.81E-05
700,DPC_TQ.na,5.81E-05
705,DPC_TW.na,5.76E-05
263,CTriad_g6.g3.g4.na,5.75E-05
424,DPC_DV.na,5.73E-05
547,DPC_LA.na,5.71E-05
723,DPC_VT.na,5.70E-05
759,DPC_YP.na,5.69E-05
991,CTDD_solventaccess.2.residue0.na,5.65E-05
697,DPC_TM.na,5.65E-05
198,CTriad_g5.g1.g2.na,5.62E-05
632,DPC_QG.na,5.55E-05
130,CTriad_g3.g5.g4.na,5.49E-05
967,CTDD_charge.3.residue25.na,5.47E-05
485,DPC_GW.na,5.45E-05
598,DPC_NN.na,5.43E-05
536,DPC_KL.na,5.36E-05
63,CTriad_g2.g2.g7.na,5.35E-05
325,CTriad_g7.g5.g3.na,5.20E-05
666,DPC_RY.na,5.18E-05
839,CTDD_hydrophobicity_ZIMJ680101.1.residue75.na,5.14E-05
1002,CTDT_hydrophobicity_PRAM900101.Tr1331.na,5.14E-05
870,CTDD_hydrophobicity_CASG920101.1.residue100.na,5.13E-05
623,DPC_PT.na,5.05E-05
100,CTriad_g3.g1.g2.na,5.04E-05
107,CTriad_g3.g2.g2.na,5.03E-05
647,DPC_RA.na,4.98E-05
545,DPC_KW.na,4.95E-05
478,DPC_GN.na,4.94E-05
254,CTriad_g6.g2.g2.na,4.94E-05
333,CTriad_g7.g6.g4.na,4.93E-05
120,CTriad_g3.g4.g1.na,4.92E-05
734,DPC_WI.na,4.90E-05
891,CTDD_hydrophobicity_ENGD860101.3.residue0.na,4.90E-05
473,DPC_GH.na,4.87E-05
617,DPC_PM.na,4.85E-05
735,DPC_WK.na,4.84E-05
374,DPC_AI.na,4.77E-05
525,DPC_IW.na,4.72E-05
528,DPC_KC.na,4.71E-05
117,CTriad_g3.g3.g5.na,4.70E-05
548,DPC_LC.na,4.70E-05
137,CTriad_g3.g6.g4.na,4.68E-05
491,DPC_HF.na,4.53E-05
328,CTriad_g7.g5.g6.na,4.35E-05
10,CTriad_g1.g2.g3.na,4.13E-05
256,CTriad_g6.g2.g4.na,4.10E-05
260,CTriad_g6.g3.g1.na,3.98E-05
143,CTriad_g3.g7.g3.na,3.96E-05
161,CTriad_g4.g2.g7.na,3.90E-05
67,CTriad_g2.g3.g4.na,3.88E-05
515,DPC_IK.na,3.87E-05
696,DPC_TL.na,3.81E-05
301,CTriad_g7.g1.g7.na,3.81E-05
629,DPC_QD.na,3.74E-05
32,CTriad_g1.g5.g4.na,3.72E-05
248,CTriad_g6.g1.g3.na,3.67E-05
96,CTriad_g2.g7.g5.na,3.65E-05
390,DPC_CE.na,3.61E-05
38,CTriad_g1.g6.g3.na,3.59E-05
158,CTriad_g4.g2.g4.na,3.54E-05
729,DPC_WD.na,3.49E-05
288,CTriad_g6.g7.g1.na,3.45E-05
657,DPC_RM.na,3.31E-05
422,DPC_DS.na,3.28E-05
725,DPC_VW.na,3.16E-05
561,DPC_LR.na,3.08E-05
740,DPC_WQ.na,3.06E-05
410,DPC_DE.na,3.05E-05
216,CTriad_g5.g3.g6.na,3.05E-05
710,DPC_VE.na,3.01E-05
183,CTriad_g4.g6.g1.na,2.93E-05
269,CTriad_g6.g4.g3.na,2.88E-05
753,DPC_YH.na,2.83E-05
14,CTriad_g1.g2.g7.na,2.80E-05
555,DPC_LK.na,2.65E-05
458,DPC_FN.na,2.56E-05
19,CTriad_g1.g3.g5.na,2.47E-05
190,CTriad_g4.g7.g1.na,2.42E-05
661,DPC_RR.na,2.40E-05
413,DPC_DH.na,2.39E-05
373,DPC_AH.na,2.36E-05
224,CTriad_g5.g4.g7.na,2.27E-05
500,DPC_HQ.na,2.25E-05
921,CTDD_normwaalsvolume.3.residue0.na,2.24E-05
480,DPC_GQ.na,2.20E-05
257,CTriad_g6.g2.g5.na,2.12E-05
499,DPC_HP.na,2.05E-05
631,DPC_QF.na,1.85E-05
159,CTriad_g4.g2.g5.na,1.77E-05
668,DPC_SC.na,1.77E-05
950,CTDD_polarizability.2.residue100.na,1.75E-05
246,CTriad_g6.g1.g1.na,1.75E-05
582,DPC_MS.na,1.72E-05
115,CTriad_g3.g3.g3.na,1.71E-05
314,CTriad_g7.g3.g6.na,1.53E-05
569,DPC_MD.na,1.53E-05
575,DPC_MK.na,1.52E-05
486,DPC_GY.na,1.48E-05
948,CTDD_polarizability.2.residue50.na,1.47E-05
468,DPC_GC.na,1.46E-05
421,DPC_DR.na,1.43E-05
551,DPC_LF.na,1.43E-05
252,CTriad_g6.g1.g7.na,1.42E-05
490,DPC_HE.na,1.41E-05
653,DPC_RH.na,1.38E-05
291,CTriad_g6.g7.g4.na,1.32E-05
763,DPC_YT.na,1.32E-05
881,CTDD_hydrophobicity_ENGD860101.1.residue0.na,1.25E-05
323,CTriad_g7.g5.g1.na,1.23E-05
211,CTriad_g5.g3.g1.na,1.22E-05
686,DPC_SY.na,1.15E-05
54,CTriad_g2.g1.g5.na,1.15E-05
5,CTriad_g1.g1.g5.na,1.12E-05
203,CTriad_g5.g1.g7.na,1.12E-05
736,DPC_WL.na,1.01E-05
266,CTriad_g6.g3.g7.na,9.99E-06
900,CTDD_hydrophobicity_FASG890101.1.residue100.na,9.49E-06
279,CTriad_g6.g5.g6.na,9.17E-06
242,CTriad_g5.g7.g4.na,8.14E-06
426,DPC_DY.na,7.13E-06
163,CTriad_g4.g3.g2.na,6.76E-06
275,CTriad_g6.g5.g2.na,5.64E-06
321,CTriad_g7.g4.g6.na,4.95E-06
497,DPC_HM.na,4.69E-06
738,DPC_WN.na,4.13E-06
554,DPC_LI.na,3.40E-06
581,DPC_MR.na,3.28E-06
1001,CTDT_hydrophobicity_PRAM900101.Tr1221.na,3.10E-06
756,DPC_YL.na,2.82E-06
635,DPC_QK.na,2.02E-06
68,CTriad_g2.g3.g5.na,1.86E-06
401,DPC_CR.na,1.37E-06
987,CTDD_solventaccess.1.residue25.na,1.15E-06
192,CTriad_g4.g7.g3.na,1.14E-06
994,CTDD_solventaccess.2.residue75.na,4.77E-07
484,DPC_GV.na,3.57E-07
48,CTriad_g1.g7.g6.na,0
49,CTriad_g1.g7.g7.na,0
56,CTriad_g2.g1.g7.na,0
98,CTriad_g2.g7.g7.na,0
147,CTriad_g3.g7.g7.na,0
175,CTriad_g4.g4.g7.na,0
196,CTriad_g4.g7.g7.na,0
231,CTriad_g5.g5.g7.na,0
243,CTriad_g5.g7.g5.na,0
244,CTriad_g5.g7.g6.na,0
245,CTriad_g5.g7.g7.na,0
273,CTriad_g6.g4.g7.na,0
278,CTriad_g6.g5.g5.na,0
294,CTriad_g6.g7.g7.na,0
299,CTriad_g7.g1.g5.na,0
300,CTriad_g7.g1.g6.na,0
327,CTriad_g7.g5.g5.na,0
329,CTriad_g7.g5.g7.na,0
334,CTriad_g7.g6.g5.na,0
335,CTriad_g7.g6.g6.na,0
336,CTriad_g7.g6.g7.na,0
337,CTriad_g7.g7.g1.na,0
338,CTriad_g7.g7.g2.na,0
339,CTriad_g7.g7.g3.na,0
340,CTriad_g7.g7.g4.na,0
341,CTriad_g7.g7.g5.na,0
342,CTriad_g7.g7.g6.na,0
343,CTriad_g7.g7.g7.na,0
377,DPC_AM.na,0
388,DPC_CC.na,0
405,DPC_CW.na,0
417,DPC_DM.na,0
493,DPC_HH.na,0
505,DPC_HW.na,0
571,DPC_MF.na,0
573,DPC_MH.na,0
577,DPC_MM.na,0
640,DPC_QQ.na,0
665,DPC_RW.na,0
728,DPC_WC.na,0
731,DPC_WF.na,0
25,CTriad_g1.g4.g4.na,-2.72E-07
578,DPC_MN.na,-3.32E-07
687,DPC_TA.na,-4.50E-07
460,DPC_FQ.na,-8.47E-07
546,DPC_KY.na,-1.15E-06
380,DPC_AQ.na,-1.93E-06
259,CTriad_g6.g2.g7.na,-2.01E-06
411,DPC_DF.na,-2.47E-06
145,CTriad_g3.g7.g5.na,-2.93E-06
537,DPC_KM.na,-2.94E-06
706,DPC_TY.na,-2.96E-06
280,CTriad_g6.g5.g7.na,-3.09E-06
628,DPC_QC.na,-3.23E-06
322,CTriad_g7.g4.g7.na,-3.66E-06
642,DPC_QS.na,-3.89E-06
614,DPC_PI.na,-4.01E-06
585,DPC_MW.na,-5.17E-06
529,DPC_KD.na,-5.72E-06
498,DPC_HN.na,-6.07E-06
186,CTriad_g4.g6.g4.na,-6.51E-06
433,DPC_EH.na,-6.88E-06
93,CTriad_g2.g7.g2.na,-7.06E-06
570,DPC_ME.na,-7.23E-06
222,CTriad_g5.g4.g5.na,-7.85E-06
737,DPC_WM.na,-7.89E-06
475,DPC_GK.na,-8.15E-06
634,DPC_QI.na,-8.40E-06
465,DPC_FW.na,-8.41E-06
91,CTriad_g2.g6.g7.na,-8.49E-06
287,CTriad_g6.g6.g7.na,-8.69E-06
997,CTDD_solventaccess.3.residue25.na,-9.72E-06
307,CTriad_g7.g2.g6.na,-1.03E-05
283,CTriad_g6.g6.g3.na,-1.03E-05
746,DPC_WY.na,-1.10E-05
766,DPC_YY.na,-1.13E-05
563,DPC_LT.na,-1.14E-05
110,CTriad_g3.g2.g5.na,-1.28E-05
258,CTriad_g6.g2.g6.na,-1.30E-05
596,DPC_NL.na,-1.40E-05
168,CTriad_g4.g3.g7.na,-1.47E-05
787,CTDC_hydrophobicity_FASG890101.G3.na,-1.73E-05
7,CTriad_g1.g1.g7.na,-1.77E-05
464,DPC_FV.na,-1.83E-05
898,CTDD_hydrophobicity_FASG890101.1.residue50.na,-1.86E-05
391,DPC_CF.na,-1.86E-05
1006,CTDT_hydrophobicity_ARGP820101.Tr2332.na,-1.87E-05
926,CTDD_polarity.1.residue0.na,-1.87E-05
308,CTriad_g7.g2.g7.na,-1.88E-05
326,CTriad_g7.g5.g4.na,-1.92E-05
819,CTDD_hydrophobicity_PRAM900101.3.residue75.na,-2.03E-05
36,CTriad_g1.g6.g1.na,-2.06E-05
230,CTriad_g5.g5.g6.na,-2.09E-05
320,CTriad_g7.g4.g5.na,-2.12E-05
229,CTriad_g5.g5.g5.na,-2.14E-05
420,DPC_DQ.na,-2.19E-05
45,CTriad_g1.g7.g3.na,-2.21E-05
834,CTDD_hydrophobicity_ARGP820101.3.residue75.na,-2.23E-05
52,CTriad_g2.g1.g3.na,-2.28E-05
394,DPC_CI.na,-2.33E-05
586,DPC_MY.na,-2.33E-05
693,DPC_TH.na,-2.45E-05
454,DPC_FI.na,-2.45E-05
212,CTriad_g5.g3.g2.na,-2.47E-05
313,CTriad_g7.g3.g5.na,-2.48E-05
238,CTriad_g5.g6.g7.na,-2.49E-05
