,var,AUC_loss
623,DPC_PT.m1,5.07E-05
146,CTriad_g3.g7.g6.m1,4.97E-05
538,DPC_KN.m1,4.76E-05
297,CTriad_g7.g1.g3.m1,4.10E-05
63,CTriad_g2.g2.g7.m1,3.71E-05
671,DPC_SF.m1,3.66E-05
153,CTriad_g4.g1.g6.m1,3.47E-05
184,CTriad_g4.g6.g2.m1,3.44E-05
594,DPC_NI.m1,3.31E-05
373,DPC_AH.m1,3.23E-05
926,CTDD_polarity.1.residue0.m1,3.21E-05
176,CTriad_g4.g5.g1.m1,3.11E-05
850,CTDD_hydrophobicity_ZIMJ680101.3.residue100.m1,3.10E-05
675,DPC_SK.m1,3.02E-05
26,CTriad_g1.g4.g5.m1,3.00E-05
851,CTDD_hydrophobicity_PONP930101.1.residue0.m1,2.98E-05
965,CTDD_charge.2.residue100.m1,2.94E-05
961,CTDD_charge.2.residue0.m1,2.79E-05
941,CTDD_polarizability.1.residue0.m1,2.73E-05
440,DPC_EQ.m1,2.65E-05
509,DPC_ID.m1,2.64E-05
49,CTriad_g1.g7.g7.m1,2.46E-05
160,CTriad_g4.g2.g6.m1,2.38E-05
148,CTriad_g4.g1.g1.m1,2.34E-05
816,CTDD_hydrophobicity_PRAM900101.3.residue0.m1,2.14E-05
486,DPC_GY.m1,2.11E-05
980,CTDD_secondarystruct.2.residue100.m1,2.09E-05
481,DPC_GR.m1,2.03E-05
163,CTriad_g4.g3.g2.m1,2.02E-05
443,DPC_ET.m1,1.99E-05
61,CTriad_g2.g2.g5.m1,1.97E-05
79,CTriad_g2.g5.g2.m1,1.82E-05
517,DPC_IM.m1,1.76E-05
642,DPC_QS.m1,1.73E-05
686,DPC_SY.m1,1.72E-05
681,DPC_SR.m1,1.71E-05
551,DPC_LF.m1,1.67E-05
573,DPC_MH.m1,1.67E-05
726,DPC_VY.m1,1.65E-05
640,DPC_QQ.m1,1.65E-05
981,CTDD_secondarystruct.3.residue0.m1,1.50E-05
117,CTriad_g3.g3.g5.m1,1.39E-05
121,CTriad_g3.g4.g2.m1,1.34E-05
