,var,AUC_loss
590,DPC_NE.ha,0.000722976
474,DPC_GI.ha,0.000719295
672,DPC_SG.ha,0.000717986
558,DPC_LN.ha,0.000717356
416,DPC_DL.ha,0.000714395
755,DPC_YK.ha,0.000711518
372,DPC_AG.ha,0.000710916
144,CTriad_g3.g7.g4.ha,0.000708353
671,DPC_SF.ha,0.000705859
982,CTDD_secondarystruct.3.residue25.ha,0.000703831
1021,CTDT_hydrophobicity_FASG890101.Tr2332.ha,0.00070114
966,CTDD_charge.3.residue0.ha,0.000701036
723,DPC_VT.ha,0.000700718
574,DPC_MI.ha,0.000696253
536,DPC_KL.ha,0.000695133
711,DPC_VF.ha,0.000680779
544,DPC_KV.ha,0.000680775
562,DPC_LS.ha,0.000678967
398,DPC_CN.ha,0.000676524
480,DPC_GQ.ha,0.000672479
623,DPC_PT.ha,0.000664081
691,DPC_TF.ha,0.000663788
809,CTDD_hydrophobicity_PRAM900101.1.residue75.ha,0.000663044
588,DPC_NC.ha,0.000656055
521,DPC_IR.ha,0.000650971
634,DPC_QI.ha,0.000642861
529,DPC_KD.ha,0.000632255
729,DPC_WD.ha,0.000630217
582,DPC_MS.ha,0.000627929
479,DPC_GP.ha,0.00062182
540,DPC_KQ.ha,0.000621339
998,CTDD_solventaccess.3.residue50.ha,0.000618871
689,DPC_TD.ha,0.000617695
1022,CTDT_normwaalsvolume.Tr1221.ha,0.000614882
22,CTriad_g1.g4.g1.ha,0.000604837
690,DPC_TE.ha,0.000602994
614,DPC_PI.ha,0.000600309
476,DPC_GL.ha,0.000596286
541,DPC_KR.ha,0.000590714
686,DPC_SY.ha,0.000586014
742,DPC_WS.ha,0.000584822
158,CTriad_g4.g2.g4.ha,0.000582994
224,CTriad_g5.g4.g7.ha,0.000582854
866,CTDD_hydrophobicity_CASG920101.1.residue0.ha,0.000574947
669,DPC_SD.ha,0.000573274
972,CTDD_secondarystruct.1.residue25.ha,0.000563431
1023,CTDT_normwaalsvolume.Tr1331.ha,0.000557641
693,DPC_TH.ha,0.000553487
123,CTriad_g3.g4.g4.ha,0.000552634
830,CTDD_hydrophobicity_ARGP820101.2.residue100.ha,0.000548529
327,CTriad_g7.g5.g5.ha,0.000540196
