"PROT","HOLD","FEAT","IMP","value","sd"
"HA","H5N6","pseaac",0,0.989925367593667,0.00289723458271866
"HA","H5N8","two_mer",0.8248,0.99290808993705,0.00543172253266593
"HA","H5N8","CTDc",0.014,0.990628364734371,0.00670500973074999
"HA","H5N8","CTDd",0,0.991227583629832,0.00568580013523337
"HA","H5N8","CTDt",0,0.991866068156662,0.00591395420103379
"HA","H5N8","triad",0.1612,0.992957625127045,0.00518484355354775
"HA","H5N8","pseaac",0,0.990480260355526,0.00577470087113044
"HA","H6N1","two_mer",1,0.992612982077388,0.00299335559576219
"HA","H6N1","CTDc",0,0.990372762652003,0.00272610348772236
"HA","H6N1","CTDd",0,0.990346351547666,0.00263621167543574
"HA","H6N1","CTDt",0,0.991340253852401,0.00246198016756233
"HA","H6N1","triad",0,0.991519786793234,0.00241251173931452
"HA","H6N1","pseaac",0,0.989821574515965,0.00317998365196215
"HA","H6N2","two_mer",0.9382,0.992601625481807,0.00125954640889308
"HA","H6N2","CTDc",0.0139,0.990397017453239,0.00342230864299324
"HA","H6N2","CTDd",0,0.990152435266299,0.00189000548300308
"HA","H6N2","CTDt",6e-04,0.991682733684945,0.00160457224203021
"HA","H6N2","triad",0.0473,0.99214485399028,0.00151819991472071
"HA","H6N2","pseaac",0,0.990199608031044,0.00126546832167814
"HA","H6N6","two_mer",0.8466,0.993456776365765,0.00242755823510338
"HA","H6N6","CTDc",0.0267,0.990873539794847,0.00296987524426931
"HA","H6N6","CTDd",0,0.991703904846855,0.00303223907278522
"HA","H6N6","CTDt",7e-04,0.992347046763595,0.00220678637846005
"HA","H6N6","triad",0.1261,0.993519078827432,0.00222521152235325
"HA","H6N6","pseaac",0,0.990972476283871,0.00287798779379126
"HA","H7N1","two_mer",1,0.992873475876121,0.00377965298210323
"HA","H7N1","CTDc",0,0.990553041974469,0.00411463314456028
"HA","H7N1","CTDd",0,0.990363478418303,0.00423166901066167
"HA","H7N1","CTDt",0,0.991984470490518,0.00396412660545149
"HA","H7N1","triad",0,0.991866547256247,0.00456934344176171
"HA","H7N1","pseaac",0,0.990582788082651,0.00444779510270513
"HA","H7N3","two_mer",1,0.992500667573473,0.00381677493913908
"HA","H7N3","CTDc",0,0.990242653430211,0.00392664170576307
"HA","H7N3","CTDd",0,0.990161956725052,0.00387499865094928
"HA","H7N3","CTDt",0,0.991637752947321,0.00384951267815271
"HA","H7N3","triad",0,0.991520974379444,0.00466925989999853
"HA","H7N3","pseaac",0,0.989829511686972,0.00294192076777526
"HA","H7N7","two_mer",1,0.992783980037942,0.00245733402358924
"HA","H7N7","CTDc",0,0.990330723087029,0.00217097031852106
"HA","H7N7","CTDd",0,0.990099418564159,0.00308809819267211
"HA","H7N7","CTDt",0,0.991466923666451,0.00127485616807966
"HA","H7N7","triad",0,0.991977730799545,0.00305831453978173
"HA","H7N7","pseaac",0,0.990217828926179,0.003058422065023
"HA","H7N9","two_mer",0.866,0.991929748082896,0.00402298326331934
"HA","H7N9","CTDc",0.0081,0.989635447080377,0.00316239950502826
"HA","H7N9","CTDd",0,0.989643443664694,0.00349876665677435
"HA","H7N9","CTDt",0,0.990840373894716,0.00432201073505423
"HA","H7N9","triad",0.1259,0.991426077585785,0.0047147726165847
"HA","H7N9","pseaac",0,0.989789644266169,0.00300664864634546
"HA","H9N2","two_mer",0.816,0.99428771744321,0.00245840036243045
"HA","H9N2","CTDc",0.0097,0.991793552008304,0.00331510386939433
