"PROT","HOLD","FEAT","CLASS","IMP","value","sd"
"HA","H18N11","CTDt","Phyllostomidae",0,0.963946597986658,0.00265046499743759
"HA","H18N11","CTDt","Suidae",0.0496,0.943284102478112,0.00253474464117129
"HA","H18N11","triad","Canidae",0.0093,0.953835253466602,0.00447305814734084
"HA","H18N11","triad","Equidae",0.0046,0.949440127327771,0.00445799325061561
"HA","H18N11","triad","Hominidae",0.0897,0.958011802458879,0.00286283666254413
"HA","H18N11","triad","Phyllostomidae",1e-04,0.95119909337166,0.00534774432316942
"HA","H18N11","triad","Suidae",0.0853,0.963946597986658,0.00265046499743759
"HA","H18N11","pseaac","Canidae",0.0012,0.943284102478112,0.00253474464117129
"HA","H18N11","pseaac","Equidae",0.0012,0.953835253466602,0.00447305814734084
"HA","H18N11","pseaac","Hominidae",0.0212,0.949440127327771,0.00445799325061561
"HA","H18N11","pseaac","Phyllostomidae",1e-04,0.958011802458879,0.00286283666254413
"HA","H18N11","pseaac","Suidae",0.0412,0.95119909337166,0.00534774432316942
"HA","H1N1","two_mer","Canidae",0.0161,0.975859453371714,0.00550334889907183
"HA","H1N1","two_mer","Equidae",0.012,0.95653908557614,0.00885769142544211
"HA","H1N1","two_mer","Hominidae",0.0472,0.966797351524283,0.00465536019259019
"HA","H1N1","two_mer","Phyllostomidae",0.009,0.964688930179448,0.00677719118728535
"HA","H1N1","two_mer","Suidae",0.1425,0.970123817894538,0.00935985653335612
"HA","H1N1","CTDc","Canidae",0.0277,0.96378485453439,0.0055949539063616
"HA","H1N1","CTDc","Equidae",0.0171,0.975859453371714,0.00550334889907183
"HA","H1N1","CTDc","Hominidae",0.0438,0.95653908557614,0.00885769142544211
"HA","H1N1","CTDc","Phyllostomidae",0.002,0.966797351524283,0.00465536019259019
"HA","H1N1","CTDc","Suidae",0.0478,0.964688930179448,0.00677719118728535
"HA","H1N1","CTDd","Canidae",0.0176,0.970123817894538,0.00935985653335612
"HA","H1N1","CTDd","Equidae",0.0147,0.96378485453439,0.0055949539063616
"HA","H1N1","CTDd","Hominidae",0.0572,0.975859453371714,0.00550334889907183
"HA","H1N1","CTDd","Phyllostomidae",0.0114,0.95653908557614,0.00885769142544211
"HA","H1N1","CTDd","Suidae",0.0297,0.966797351524283,0.00465536019259019
"HA","H1N1","CTDt","Canidae",0.0189,0.964688930179448,0.00677719118728535
"HA","H1N1","CTDt","Equidae",0.0184,0.970123817894538,0.00935985653335612
"HA","H1N1","CTDt","Hominidae",0.0252,0.96378485453439,0.0055949539063616
"HA","H1N1","CTDt","Phyllostomidae",0.0063,0.975859453371714,0.00550334889907183
"HA","H1N1","CTDt","Suidae",0.1297,0.95653908557614,0.00885769142544211
"HA","H1N1","triad","Canidae",0.0169,0.966797351524283,0.00465536019259019
"HA","H1N1","triad","Equidae",0.021,0.964688930179448,0.00677719118728535
"HA","H1N1","triad","Hominidae",0.0477,0.970123817894538,0.00935985653335612
"HA","H1N1","triad","Phyllostomidae",0.0116,0.96378485453439,0.0055949539063616
"HA","H1N1","triad","Suidae",0.0494,0.975859453371714,0.00550334889907183
"HA","H1N1","pseaac","Canidae",0.022,0.95653908557614,0.00885769142544211
"HA","H1N1","pseaac","Equidae",0.014,0.966797351524283,0.00465536019259019
"HA","H1N1","pseaac","Hominidae",0.076,0.964688930179448,0.00677719118728535
"HA","H1N1","pseaac","Phyllostomidae",0.0042,0.970123817894538,0.00935985653335612
"HA","H1N1","pseaac","Suidae",0.0426,0.96378485453439,0.0055949539063616
"HA","H1N2","two_mer","Canidae",0.0122,0.967382004495529,0.00571934652532104
"HA","H1N2","two_mer","Equidae",0.0189,0.945401200330526,0.00624184101602654
"HA","H1N2","two_mer","Hominidae",0.2253,0.956510085163559,0.00558452054867415
"HA","H1N2","two_mer","Phyllostomidae",0.0047,0.953909332579173,0.00395421522652144
"HA","H1N2","two_mer","Suidae",0.1892,0.960290639281861,0.00465251070099715
"HA","H1N2","CTDc","Canidae",0.0024,0.953200949391992,0.00635734642685565
"HA","H1N2","CTDc","Equidae",0.0062,0.967382004495529,0.00571934652532104
"HA","H1N2","CTDc","Hominidae",0.0175,0.945401200330526,0.00624184101602654
"HA","H1N2","CTDc","Phyllostomidae",0.0046,0.956510085163559,0.00558452054867415
"HA","H1N2","CTDc","Suidae",0.0443,0.953909332579173,0.00395421522652144
"HA","H1N2","CTDd","Canidae",0.006,0.960290639281861,0.00465251070099715
"HA","H1N2","CTDd","Equidae",0.0037,0.953200949391992,0.00635734642685565
"HA","H1N2","CTDd","Hominidae",0.0413,0.967382004495529,0.00571934652532104
"HA","H1N2","CTDd","Phyllostomidae",0.0026,0.945401200330526,0.00624184101602654
"HA","H1N2","CTDd","Suidae",0.0486,0.956510085163559,0.00558452054867415
"HA","H1N2","CTDt","Canidae",0.0027,0.953909332579173,0.00395421522652144
"HA","H1N2","CTDt","Equidae",0.0043,0.960290639281861,0.00465251070099715
"HA","H1N2","CTDt","Hominidae",0.0196,0.953200949391992,0.00635734642685565
"HA","H1N2","CTDt","Phyllostomidae",8e-04,0.967382004495529,0.00571934652532104
"HA","H1N2","CTDt","Suidae",0.0662,0.945401200330526,0.00624184101602654
"HA","H1N2","triad","Canidae",0.0072,0.956510085163559,0.00558452054867415
"HA","H1N2","triad","Equidae",0.008,0.953909332579173,0.00395421522652144
"HA","H1N2","triad","Hominidae",0.0588,0.960290639281861,0.00465251070099715
"HA","H1N2","triad","Phyllostomidae",0.0033,0.953200949391992,0.00635734642685565
"HA","H1N2","triad","Suidae",0.098,0.967382004495529,0.00571934652532104
"HA","H1N2","pseaac","Canidae",0.0021,0.945401200330526,0.00624184101602654
"HA","H1N2","pseaac","Equidae",0.0102,0.956510085163559,0.00558452054867415
"HA","H1N2","pseaac","Hominidae",0.0326,0.953909332579173,0.00395421522652144
"HA","H1N2","pseaac","Phyllostomidae",0.0018,0.960290639281861,0.00465251070099715
"HA","H1N2","pseaac","Suidae",0.0568,0.953200949391992,0.00635734642685565
"HA","H3N2","two_mer","Canidae",0.0038,0.964420705126966,0.00838224590978471
"HA","H3N2","two_mer","Equidae",0.0166,0.948394387748454,0.00579606514539069
"HA","H3N2","two_mer","Hominidae",0.1629,0.956405661238813,0.00748833429179245
"HA","H3N2","two_mer","Phyllostomidae",0.005,0.956153466287031,0.00904884366853043
"HA","H3N2","two_mer","Suidae",0.2751,0.958908483541199,0.00892759186405604
"HA","H3N2","CTDc","Canidae",0.0043,0.953399080313263,0.0109443338923297
"HA","H3N2","CTDc","Equidae",0.0115,0.964420705126966,0.00838224590978471
"HA","H3N2","CTDc","Hominidae",0.025,0.948394387748454,0.00579606514539069
"HA","H3N2","CTDc","Phyllostomidae",0.0046,0.956405661238813,0.00748833429179245
"HA","H3N2","CTDc","Suidae",0.0215,0.956153466287031,0.00904884366853043
"HA","H3N2","CTDd","Canidae",0.0022,0.958908483541199,0.00892759186405604
"HA","H3N2","CTDd","Equidae",0.0026,0.953399080313263,0.0109443338923297
"HA","H3N2","CTDd","Hominidae",0.0185,0.964420705126966,0.00838224590978471
"HA","H3N2","CTDd","Phyllostomidae",0.0035,0.948394387748454,0.00579606514539069
"HA","H3N2","CTDd","Suidae",0.0406,0.956405661238813,0.00748833429179245
"HA","H3N2","CTDt","Canidae",0.0016,0.956153466287031,0.00904884366853043
"HA","H3N2","CTDt","Equidae",0.0042,0.958908483541199,0.00892759186405604
"HA","H3N2","CTDt","Hominidae",0.0781,0.953399080313263,0.0109443338923297
"HA","H3N2","CTDt","Phyllostomidae",9e-04,0.964420705126966,0.00838224590978471
"HA","H3N2","CTDt","Suidae",0.0572,0.948394387748454,0.00579606514539069
"HA","H3N2","triad","Canidae",0.008,0.956405661238813,0.00748833429179245
"HA","H3N2","triad","Equidae",0.0146,0.956153466287031,0.00904884366853043
"HA","H3N2","triad","Hominidae",0.0353,0.958908483541199,0.00892759186405604
