"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"48",105000,-164.445962,1,0,0,0,0,1.262837,1.262837,0,1.262837,1.262837,0,0,1.262837,1.262837,0,1.262837,1.262837,0,1.262837,1.262837,1.262837,1.262837,1.262837,1.262837,1.262837,1.262837,1.262837,0,1.262837,0,1.262837,0.16637,0.166633,0.166848,0.166723,0.166703,0.166723
"49",107000,-159.860535,1,0,0,0.147608,0,1.680641,0,0,0,0.147608,0.147608,1.680641,0.147608,0,1.680641,0.147608,0,1.680641,1.680641,0,0.147608,0.147608,0,1.680641,0,1.680641,1.680641,0.147608,0.147608,0,1.680641,0.191977,0.093378,0.190813,0.139481,0.193534,0.190816
"50",109000,-157.863232,1,0.086547,0.086547,0.086547,0.086547,1.27348,0,0,0,1.27348,0.086547,0.086547,0.086547,0.086547,0,1.27348,0.086547,1.27348,1.27348,1.27348,0,0.086547,1.27348,1.27348,0.086547,1.27348,1.27348,0,0.086547,0.086547,1.27348,0.17961,0.149345,0.173412,0.159737,0.164169,0.173726
"51",111000,-162.094101,1,0,0.039364,0.039364,0,1.626362,1.626362,0,0.039364,1.626362,0.039364,0.039364,1.626362,0,0.039364,1.626362,1.626362,0,0,1.626362,0.039364,0,1.626362,1.626362,0,1.626362,1.626362,0,0.039364,0.039364,1.626362,0.167157,0.166673,0.166383,0.166743,0.166372,0.166672
"52",113000,-159.563223,1,0,0.088928,0.088928,0,1.838704,1.838704,0.088928,0.088928,1.838704,1.838704,1.838704,1.838704,0,1.838704,0.088928,1.838704,0.088928,1.838704,0.088928,0,0.088928,1.838704,1.838704,0.088928,1.838704,1.838704,0,0,0.088928,1.838704,0.166698,0.166658,0.166656,0.166689,0.166641,0.166658
"53",115000,-158.228934,1,0,0,0.122325,0,0.990597,0,0.122325,0.122325,0,0.122325,0.990597,0.990597,0.122325,0.990597,0.990597,0.990597,0.122325,0.990597,0.122325,0.990597,0,0.990597,0.990597,0,0.990597,0.990597,0.122325,0,0.122325,0.990597,0.211465,0.107051,0.163727,0.186351,0.149077,0.182329
"54",117000,-157.511195,1,0.053644,0.053644,0.053644,0,1.539194,0,0,0.053644,0,0.053644,0.053644,0,1.539194,0.053644,1.539194,1.539194,0,0,1.539194,1.539194,1.539194,1.539194,0.053644,0.053644,1.539194,1.539194,0,0.053644,0.053644,1.539194,0.21531,0.042804,0.206417,0.193328,0.148658,0.193483
"55",119000,-158.453304,1,0.123503,0.123503,0.123503,0,1.487057,0,0.123503,0,1.487057,0,0.123503,1.487057,0.123503,0,1.487057,1.487057,1.487057,0,0,0.123503,1.487057,0.123503,0.123503,0.123503,1.487057,1.487057,0,0,0,1.487057,0.168115,0.164762,0.165375,0.165174,0.168092,0.168481
"56",121000,-157.879966,1,0,0.122462,0.122462,0,1.576897,0,0.122462,0,1.576897,0.122462,0,1.576897,0,1.576897,1.576897,1.576897,1.576897,0.122462,1.576897,1.576897,1.576897,0.122462,0,0.122462,1.576897,1.576897,0.122462,0,0,1.576897,0.167357,0.165244,0.166225,0.166617,0.167266,0.167292
"57",123000,-158.209705,1,0,0.110061,0.110061,0,1.40358,0.110061,0,0.110061,0.110061,0,0,0,0,0,0,0.110061,1.40358,0,1.40358,0,0,0.110061,0.110061,0.110061,1.40358,1.40358,0.110061,0.110061,0,1.40358,0.230241,0.148335,0,0.187983,0.212245,0.221196
"58",125000,-160.67726,1,0,0.09473,0.09473,0,1.022337,0,0.09473,0.09473,0.09473,0,0,0.09473,0,0.09473,0.09473,0.09473,0,0,0,0.09473,0.09473,0.09473,0.09473,1.022337,1.022337,1.022337,0.09473,0.09473,0.09473,1.022337,0.292126,0.045701,0.07505,0.149494,0.193808,0.243821
"59",127000,-157.888441,1,0,0.180537,0,0,1.835605,0,0.180537,0,0,0.180537,1.835605,0.180537,1.835605,0.180537,0,0,1.835605,0.180537,0.180537,0.180537,0.180537,0,0,1.835605,1.835605,1.835605,0,0.180537,0,1.835605,0.212569,0.125268,0.171001,0.129434,0.16629,0.195438
