"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"29",67000,-346.898585,1,0,0.422497,0.422497,0.422497,0.422497,0,0.422497,0.422497,0.422497,0.422497,0.422497,0.422497,11.718537,0.422497,0.422497,0,0.422497,11.718537,0.422497,11.718537,0.422497,0,0,0.422497,11.718537,0.422497,0,0,0,0.422497,0.012364,0.197265,0.242895,0.320366,0.11815,0.10896
"30",69000,-347.564323,1,0,0,0.404416,0.404416,0.404416,0.404416,0.404416,0.404416,0,0,0.404416,0,0,0.404416,0.404416,0,0,9.022179,0,0,0.404416,0.404416,0.404416,0.404416,9.022179,0.404416,0,0,0,0.404416,0.00474,0.001594,0.004918,0.000436,0.57392,0.414392
"31",71000,-348.17552,1,0,0,0.410635,0.410635,0.410635,0.410635,0,0.410635,0,0.410635,0,0,14.906683,0.410635,0,0.410635,14.906683,14.906683,0,0,0.410635,0.410635,0,0,14.906683,0.410635,0,0,0,0.410635,0.025925,0.037863,0.030716,0.008604,0.484337,0.412555
"32",73000,-345.660641,1,0,0,0.521806,0.521806,0.521806,0,0.521806,0.521806,0,0,0,0.521806,0,0.521806,0,0.521806,0.521806,6.364677,6.364677,0.521806,0.521806,0.521806,0.521806,0,6.364677,0.521806,0,0,0,0.521806,0.012836,0.002501,0.009947,0.131707,0.399122,0.443888
"33",75000,-350.201575,1,0,0,0.502605,0.502605,0.502605,7.235742,7.235742,0.502605,0.502605,0.502605,0,0,0,0,0,7.235742,0.502605,7.235742,0,0.502605,0.502605,0.502605,0,0,7.235742,0.502605,0,0,0,0.502605,0.010195,0.004386,0,0.002881,0.347369,0.63517
"34",77000,-346.443904,1,0,0,0.389656,0.389656,0.389656,0,0,0.389656,0.389656,0.389656,0,0.389656,0.389656,0.389656,0,0.389656,0.389656,9.359798,0.389656,0,0.389656,0.389656,0.389656,0,9.359798,0.389656,0,0,0,0.389656,0.01083,0.113106,0.016173,0.015914,0.516952,0.327024
"35",79000,-348.07734,1,0,0,0.464079,0.464079,0.464079,0,0,0.464079,0.464079,0,0.464079,0,0.464079,0.464079,0.464079,0,0,13.396718,13.396718,0,0.464079,0.464079,0,0,13.396718,0.464079,0,0,0,0.464079,0.006521,0.100997,0.006519,0.115068,0.524649,0.246247
"36",81000,-346.545936,1,0,0,0.524743,0.524743,0.524743,0,0,0,0,0,0.524743,0,0,0,0.524743,0,12.301527,12.301527,0.524743,0,0.524743,0.524743,0.524743,0.524743,12.301527,0.524743,0,0,0,0.524743,0.021913,0,0.003187,0.020392,0.510692,0.443817
"37",83000,-351.361021,1,0,0,0.415864,0.415864,0.415864,0,0,0,0,0,0.415864,0.415864,0.415864,0,0,0.415864,8.429316,8.429316,0.415864,0.415864,0.415864,0.415864,0,0.415864,8.429316,0.415864,0,0,0,0.415864,0.016737,0,0.000249,0.046976,0.525364,0.410674
"38",85000,-348.598493,1,0,0,0.347744,0.347744,0.347744,0,0,0,0,0,0,0.347744,0.347744,0,0,0.347744,0.347744,13.976325,0.347744,0,0.347744,0,0.347744,0,13.976325,0.347744,0,0,0,0.347744,0.027088,0,0.000177,0.066212,0.598878,0.307646
